Day 1, Spring 4, Egg 1, Sausage 1, Jelly 5, Pastry 1, Outages 1
Day 2, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 8
Day 3, Spring 11, Egg 12, Sausage 10, Jelly 6, Pastry 2, Outages 0
Day 4, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 5, Spring 2, Egg 3, Sausage 1, Jelly 3, Pastry 0, Outages 1
Day 6, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 15
Day 7, Spring 11, Egg 16, Sausage 17, Jelly 14, Pastry 13, Outages 0
Day 8, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 10
Day 9, Spring 14, Egg 12, Sausage 11, Jelly 10, Pastry 9, Outages 0
Day 10, Spring 14, Egg 12, Sausage 5, Jelly 5, Pastry 4, Outages 3
Day 11, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 9
Day 12, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 13, Spring 12, Egg 8, Sausage 11, Jelly 10, Pastry 12, Outages 0
Day 14, Spring 1, Egg 4, Sausage 3, Jelly 2, Pastry 5, Outages 2
Day 15, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 16, Spring 0, Egg 4, Sausage 5, Jelly 4, Pastry 4, Outages 1
Day 17, Spring 12, Egg 0, Sausage 0, Jelly 1, Pastry 0, Outages 5
Day 18, Spring 3, Egg 24, Sausage 20, Jelly 0, Pastry 29, Outages 4
Day 19, Spring 1, Egg 10, Sausage 11, Jelly 17, Pastry 22, Outages 2
Day 20, Spring 0, Egg 1, Sausage 2, Jelly 3, Pastry 5, Outages 4
Day 21, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 10
Day 22, Spring 9, Egg 4, Sausage 4, Jelly 10, Pastry 5, Outages 0
Day 23, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 6
Day 24, Spring 0, Egg 0, Sausage 0, Jelly 2, Pastry 0, Outages 3
Day 25, Spring 25, Egg 23, Sausage 19, Jelly 0, Pastry 22, Outages 8
Day 26, Spring 6, Egg 5, Sausage 8, Jelly 12, Pastry 9, Outages 1
Day 27, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 6
Day 28, Spring 1, Egg 0, Sausage 0, Jelly 1, Pastry 2, Outages 6
Day 29, Spring 0, Egg 3, Sausage 12, Jelly 0, Pastry 0, Outages 10
Day 30, Spring 17, Egg 0, Sausage 2, Jelly 14, Pastry 15, Outages 11
