Day 1, Spring 3, Egg 4, Sausage 7, Jelly 0, Pastry 0, Outages 1
Day 2, Spring 3, Egg 1, Sausage 0, Jelly 19, Pastry 19, Outages 3
Day 3, Spring 1, Egg 0, Sausage 24, Jelly 13, Pastry 11, Outages 6
Day 4, Spring 0, Egg 19, Sausage 4, Jelly 1, Pastry 2, Outages 12
Day 5, Spring 11, Egg 4, Sausage 0, Jelly 0, Pastry 0, Outages 7
Day 6, Spring 0, Egg 1, Sausage 16, Jelly 16, Pastry 27, Outages 7
Day 7, Spring 24, Egg 0, Sausage 1, Jelly 5, Pastry 8, Outages 6
Day 8, Spring 9, Egg 15, Sausage 0, Jelly 0, Pastry 0, Outages 11
Day 9, Spring 9, Egg 10, Sausage 25, Jelly 30, Pastry 24, Outages 3
Day 10, Spring 4, Egg 5, Sausage 19, Jelly 25, Pastry 14, Outages 1
Day 11, Spring 3, Egg 0, Sausage 6, Jelly 13, Pastry 1, Outages 3
Day 12, Spring 0, Egg 15, Sausage 1, Jelly 3, Pastry 0, Outages 13
Day 13, Spring 19, Egg 8, Sausage 0, Jelly 0, Pastry 22, Outages 9
Day 14, Spring 9, Egg 5, Sausage 20, Jelly 18, Pastry 11, Outages 2
Day 15, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 10
Day 16, Spring 11, Egg 5, Sausage 4, Jelly 5, Pastry 4, Outages 0
Day 17, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 18, Spring 17, Egg 6, Sausage 13, Jelly 12, Pastry 7, Outages 0
Day 19, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 7
Day 20, Spring 5, Egg 0, Sausage 17, Jelly 0, Pastry 6, Outages 6
Day 21, Spring 2, Egg 21, Sausage 7, Jelly 27, Pastry 0, Outages 9
Day 22, Spring 2, Egg 16, Sausage 2, Jelly 17, Pastry 19, Outages 1
Day 23, Spring 2, Egg 5, Sausage 1, Jelly 7, Pastry 8, Outages 1
Day 24, Spring 0, Egg 1, Sausage 0, Jelly 0, Pastry 0, Outages 2
Day 25, Spring 20, Egg 0, Sausage 24, Jelly 12, Pastry 15, Outages 7
Day 26, Spring 6, Egg 12, Sausage 5, Jelly 2, Pastry 12, Outages 1
Day 27, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 28, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 29, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 3
Day 30, Spring 0, Egg 0, Sausage 0, Jelly 1, Pastry 1, Outages 2
Day 1, Spring 16, Egg 10, Sausage 6, Jelly 13, Pastry 18, Outages 1
Day 2, Spring 1, Egg 3, Sausage 2, Jelly 2, Pastry 5, Outages 2
Day 3, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 7
Day 4, Spring 6, Egg 9, Sausage 11, Jelly 13, Pastry 23, Outages 0
Day 5, Spring 1, Egg 8, Sausage 4, Jelly 8, Pastry 15, Outages 3
Day 6, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 7, Spring 20, Egg 11, Sausage 16, Jelly 20, Pastry 12, Outages 0
Day 8, Spring 13, Egg 5, Sausage 8, Jelly 13, Pastry 5, Outages 3
Day 9, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 10, Spring 11, Egg 7, Sausage 8, Jelly 14, Pastry 8, Outages 0
Day 11, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 6
Day 12, Spring 27, Egg 26, Sausage 23, Jelly 13, Pastry 22, Outages 0
Day 13, Spring 16, Egg 9, Sausage 22, Jelly 1, Pastry 11, Outages 3
Day 14, Spring 11, Egg 4, Sausage 10, Jelly 1, Pastry 1, Outages 3
Day 15, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 16, Spring 5, Egg 10, Sausage 9, Jelly 4, Pastry 3, Outages 0
Day 17, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 18, Spring 18, Egg 24, Sausage 17, Jelly 24, Pastry 18, Outages 0
Day 19, Spring 11, Egg 16, Sausage 13, Jelly 7, Pastry 6, Outages 1
Day 20, Spring 0, Egg 0, Sausage 1, Jelly 0, Pastry 0, Outages 5
Day 21, Spring 26, Egg 39, Sausage 0, Jelly 30, Pastry 22, Outages 8
Day 22, Spring 14, Egg 18, Sausage 30, Jelly 10, Pastry 7, Outages 0
Day 23, Spring 9, Egg 6, Sausage 25, Jelly 5, Pastry 2, Outages 3
Day 24, Spring 0, Egg 0, Sausage 8, Jelly 0, Pastry 0, Outages 7
Day 25, Spring 34, Egg 30, Sausage 3, Jelly 39, Pastry 25, Outages 1
Day 26, Spring 18, Egg 16, Sausage 0, Jelly 19, Pastry 12, Outages 2
Day 27, Spring 13, Egg 11, Sausage 34, Jelly 9, Pastry 3, Outages 3
Day 28, Spring 0, Egg 0, Sausage 15, Jelly 0, Pastry 0, Outages 4
Day 29, Spring 33, Egg 30, Sausage 3, Jelly 30, Pastry 29, Outages 2
Day 30, Spring 23, Egg 12, Sausage 3, Jelly 23, Pastry 12, Outages 1
Day 1, Spring 48, Egg 35, Sausage 35, Jelly 39, Pastry 38, Outages 0
Day 2, Spring 26, Egg 9, Sausage 10, Jelly 17, Pastry 13, Outages 1
Day 3, Spring 25, Egg 8, Sausage 4, Jelly 10, Pastry 6, Outages 2
Day 4, Spring 2, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 7
Day 5, Spring 0, Egg 43, Sausage 48, Jelly 47, Pastry 47, Outages 4
Day 6, Spring 44, Egg 25, Sausage 18, Jelly 26, Pastry 27, Outages 0
Day 7, Spring 33, Egg 24, Sausage 7, Jelly 9, Pastry 15, Outages 2
Day 8, Spring 22, Egg 4, Sausage 1, Jelly 0, Pastry 0, Outages 3
Day 9, Spring 17, Egg 3, Sausage 1, Jelly 54, Pastry 54, Outages 3
Day 10, Spring 6, Egg 0, Sausage 0, Jelly 46, Pastry 46, Outages 9
Day 11, Spring 3, Egg 50, Sausage 56, Jelly 36, Pastry 39, Outages 2
Day 12, Spring 2, Egg 40, Sausage 41, Jelly 26, Pastry 28, Outages 3
Day 13, Spring 0, Egg 27, Sausage 35, Jelly 20, Pastry 15, Outages 6
Day 14, Spring 41, Egg 8, Sausage 21, Jelly 1, Pastry 3, Outages 1
