Day 1, Spring 4, Egg 8, Sausage 2, Jelly 8, Pastry 5, Outages 0
Day 2, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 3, Spring 10, Egg 9, Sausage 10, Jelly 8, Pastry 8, Outages 1
Day 4, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 3
Day 5, Spring 10, Egg 5, Sausage 4, Jelly 9, Pastry 2, Outages 1
Day 6, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 10
Day 7, Spring 7, Egg 1, Sausage 0, Jelly 8, Pastry 3, Outages 1
Day 8, Spring 0, Egg 0, Sausage 2, Jelly 0, Pastry 0, Outages 12
Day 9, Spring 15, Egg 20, Sausage 0, Jelly 16, Pastry 22, Outages 7
Day 10, Spring 1, Egg 4, Sausage 13, Jelly 4, Pastry 4, Outages 1
Day 11, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 3
Day 12, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 13, Spring 4, Egg 3, Sausage 2, Jelly 1, Pastry 3, Outages 2
Day 14, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 15, Spring 10, Egg 9, Sausage 2, Jelly 11, Pastry 5, Outages 2
Day 16, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 11
Day 17, Spring 15, Egg 13, Sausage 12, Jelly 8, Pastry 13, Outages 0
Day 18, Spring 0, Egg 2, Sausage 0, Jelly 0, Pastry 0, Outages 9
Day 19, Spring 23, Egg 0, Sausage 20, Jelly 27, Pastry 21, Outages 3
Day 20, Spring 2, Egg 19, Sausage 3, Jelly 12, Pastry 5, Outages 0
Day 21, Spring 0, Egg 11, Sausage 3, Jelly 6, Pastry 5, Outages 5
Day 22, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 23, Spring 5, Egg 0, Sausage 4, Jelly 4, Pastry 3, Outages 0
Day 24, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 7
Day 25, Spring 10, Egg 4, Sausage 4, Jelly 2, Pastry 9, Outages 1
Day 26, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 3
Day 27, Spring 14, Egg 2, Sausage 17, Jelly 4, Pastry 8, Outages 0
Day 28, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 29, Spring 13, Egg 11, Sausage 19, Jelly 9, Pastry 20, Outages 0
Day 30, Spring 8, Egg 6, Sausage 19, Jelly 4, Pastry 17, Outages 3
Day 1, Spring 26, Egg 20, Sausage 28, Jelly 20, Pastry 17, Outages 0
Day 2, Spring 7, Egg 0, Sausage 5, Jelly 8, Pastry 2, Outages 6
Day 3, Spring 0, Egg 5, Sausage 0, Jelly 0, Pastry 0, Outages 11
Day 4, Spring 28, Egg 3, Sausage 26, Jelly 38, Pastry 33, Outages 1
Day 5, Spring 21, Egg 1, Sausage 15, Jelly 30, Pastry 22, Outages 3
Day 6, Spring 8, Egg 0, Sausage 2, Jelly 17, Pastry 18, Outages 9
Day 7, Spring 0, Egg 42, Sausage 0, Jelly 4, Pastry 10, Outages 6
Day 8, Spring 36, Egg 40, Sausage 36, Jelly 0, Pastry 4, Outages 7
Day 9, Spring 21, Egg 27, Sausage 23, Jelly 33, Pastry 2, Outages 1
Day 10, Spring 10, Egg 16, Sausage 17, Jelly 27, Pastry 1, Outages 1
Day 11, Spring 3, Egg 0, Sausage 1, Jelly 9, Pastry 0, Outages 3
Day 12, Spring 0, Egg 19, Sausage 0, Jelly 0, Pastry 23, Outages 17
Day 13, Spring 28, Egg 0, Sausage 20, Jelly 25, Pastry 0, Outages 4
Day 14, Spring 13, Egg 33, Sausage 1, Jelly 23, Pastry 25, Outages 1
Day 15, Spring 2, Egg 17, Sausage 1, Jelly 18, Pastry 10, Outages 2
Day 16, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 6
Day 17, Spring 2, Egg 3, Sausage 2, Jelly 9, Pastry 4, Outages 0
Day 18, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 19, Spring 28, Egg 28, Sausage 27, Jelly 16, Pastry 14, Outages 0
Day 20, Spring 9, Egg 13, Sausage 17, Jelly 1, Pastry 4, Outages 1
Day 21, Spring 2, Egg 0, Sausage 4, Jelly 0, Pastry 0, Outages 12
Day 22, Spring 0, Egg 22, Sausage 0, Jelly 29, Pastry 30, Outages 5
Day 23, Spring 24, Egg 8, Sausage 25, Jelly 9, Pastry 9, Outages 1
Day 24, Spring 8, Egg 0, Sausage 2, Jelly 1, Pastry 1, Outages 9
Day 25, Spring 0, Egg 34, Sausage 0, Jelly 0, Pastry 0, Outages 7
Day 26, Spring 9, Egg 3, Sausage 9, Jelly 10, Pastry 12, Outages 0
Day 27, Spring 1, Egg 3, Sausage 4, Jelly 5, Pastry 11, Outages 3
Day 28, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 5
Day 29, Spring 12, Egg 24, Sausage 9, Jelly 4, Pastry 20, Outages 0
Day 30, Spring 2, Egg 7, Sausage 1, Jelly 3, Pastry 7, Outages 5
Day 1, Spring 18, Egg 21, Sausage 20, Jelly 17, Pastry 11, Outages 0
Day 2, Spring 7, Egg 16, Sausage 14, Jelly 12, Pastry 6, Outages 1
Day 3, Spring 2, Egg 10, Sausage 4, Jelly 2, Pastry 1, Outages 1
Day 4, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 3
Day 5, Spring 20, Egg 25, Sausage 14, Jelly 20, Pastry 23, Outages 0
Day 6, Spring 2, Egg 13, Sausage 1, Jelly 2, Pastry 4, Outages 1
Day 7, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 6
Day 8, Spring 25, Egg 24, Sausage 20, Jelly 24, Pastry 22, Outages 0
Day 9, Spring 15, Egg 9, Sausage 4, Jelly 9, Pastry 12, Outages 0
Day 10, Spring 8, Egg 4, Sausage 1, Jelly 1, Pastry 2, Outages 1
